"표준노드ID","노드명","노드유형코드","회전제한여부","X좌표","Y좌표","적용시작일자"
"1510000100","반야월네거리","101","N","128.713541","35.865990","2011-03-24"
"1520000600","남평리네거리","101","N","128.556167","35.863548","2011-03-24"
"1550004700","-","101","Y","128.647768","35.861369","2011-03-24"
"1570008800","-","101","Y","128.462676","35.860391","2011-03-24"
"1550003900","만촌네거리","101","N","128.646023","35.858922","2011-03-24"
"1520000200","두류네거리","101","N","128.557451","35.857902","2011-03-24"
"1570008700","-","103","Y","128.435038","35.858191","2011-03-24"
"1550003600","-","101","Y","128.650632","35.856590","2011-03-24"
"1550003400","-","101","N","128.653396","35.855085","2011-03-24"
"1550003300","-","101","Y","128.654528","35.854561","2011-03-24"
"1520000100","감삼사거리","101","N","128.548005","35.854333","2011-03-24"
"1550003200","-","101","Y","128.658511","35.853208","2011-03-24"
"1550003100","-","101","Y","128.659397","35.853068","2011-03-24"
"1570008200","강창교","104","Y","128.471354","35.853849","2011-03-24"
"1550003000","담티교","104","Y","128.665283","35.850854","2011-03-24"
"1550002900","담티교","104","Y","128.666541","35.850114","2011-03-24"
"1530000500","두류공원네거리","101","N","128.566946","35.847042","2011-03-24"
"1550002600","연호네거리","101","Y","128.672685","35.846093","2011-03-24"
"1550002500","-","101","Y","128.694109","35.842946","2011-03-24"
"1550002400","-","101","N","128.699183","35.842243","2011-03-24"
"1550002200","-","101","Y","128.701768","35.841645","2011-03-24"
"1550002000","월드컵삼거리","101","Y","128.685358","35.841447","2011-03-24"
"1550001900","신매네거리","101","N","128.704985","35.840886","2011-03-24"
"1550001600","매호네거리","101","N","128.709358","35.839272","2011-03-24"
"1530000300","두리봉네거리","101","N","128.559329","35.839938","2011-03-24"
"1530000200","성당네거리","101","N","128.557545","35.837654","2011-03-24"
"1550001300","중산삼거리","105","Y","128.721226","35.835615","2011-03-24"
"1530000100","달성군청삼거리","101","N","128.555903","35.835274","2011-03-24"
"1550001100","상동교동편네거리","101","Y","128.606972","35.834420","2011-03-24"
"1550001000","범안삼거리","101","Y","128.670482","35.833987","2011-03-24"
"1550000900","경기장네거리","101","N","128.683420","35.833215","2011-03-24"
"1550000800","-","101","Y","128.686079","35.833004","2011-03-24"
"1550000400","-","101","Y","128.608332","35.829146","2011-03-24"
"1550000300","연호지하차도","104","Y","128.666528","35.828006","2011-03-24"
"1550000200","수성못네거리","101","Y","128.609834","35.825206","2011-03-24"
"1550000100","관계삼거리","101","Y","128.649464","35.818932","2011-03-24"
"1570007700","-","105","Y","128.515912","35.810867","2011-03-24"
"1570007500","가창교","104","Y","128.623205","35.805914","2011-03-24"
"1570006900","화원교","104","Y","128.495328","35.802446","2011-03-24"
"1570006800","화원교","104","Y","128.494559","35.801839","2011-03-24"
"1570006600","용계교","104","Y","128.622638","35.801116","2011-03-24"
"1570005800","화원IC입구","101","Y","128.483033","35.795043","2011-03-24"
"1570005700","-","101","Y","128.476282","35.792058","2011-03-24"
"1570005400","강경교","104","Y","128.470196","35.789976","2011-03-24"
"1570005300","강경교","104","Y","128.469342","35.789641","2011-03-24"
"1570004300","-","101","Y","128.398920","35.760437","2011-03-24"
"1570004000","고령교","104","Y","128.388766","35.753919","2011-03-24"
"1570003900","-","101","Y","128.567329","35.755591","2011-03-24"
"1570003400","삼산교","104","Y","128.661568","35.734979","2011-03-24"
"1570003000","-","101","Y","128.434512","35.726323","2011-03-24"
"1570002900","-","101","Y","128.436721","35.723175","2011-03-24"
"1570002600","-","104","Y","128.437782","35.705517","2011-03-24"
"1570002500","-","104","Y","128.437903","35.705230","2011-03-24"
"1570002400","-","101","Y","128.439486","35.701472","2011-03-24"
"1570002200","현풍교","104","Y","128.444548","35.696324","2011-03-24"
"1570002100","현풍3교","104","Y","128.439269","35.696125","2011-03-24"
"1570002000","현풍교","104","Y","128.444844","35.695800","2011-03-24"
"1570001700","현풍3교","104","Y","128.439263","35.695210","2011-03-24"
"1570001400","-","101","Y","128.446923","35.689508","2011-03-24"
"1570001200","-","101","Y","128.446368","35.678702","2011-03-24"
"1570000800","-","101","Y","128.448626","35.673134","2011-03-24"
"1570000500","-","101","Y","128.449894","35.667853","2011-03-24"
"1570000400","한정교","104","Y","128.455222","35.647636","2011-03-24"
"1570000300","한정교","104","Y","128.454503","35.646396","2011-03-24"
"1540006500","-","105","Y","128.533790","35.933593","2011-03-24"
"1540006600","칠곡IC","108","Y","128.537603","35.934250","2011-03-24"
"1540004600","북대구IC 입구","101","Y","128.587881","35.913002","2011-03-24"
"1540004000","-","101","Y","128.587230","35.903585","2011-03-24"
"1540003700","-","101","Y","128.570195","35.903149","2011-03-24"
"1540003000","침산교서편네거리","101","N","128.591763","35.900835","2011-03-24"
"1540002400","-","101","Y","128.562870","35.898444","2011-03-24"
"1520001900","제한속도변화점","103","Y","128.539075","35.888565","2011-03-24"
"1510002800","동대구JC","101","Y","128.688519","35.881818","2011-03-24"
"1520001100","서대구IC","108","Y","128.533946","35.878410","2011-03-24"
"1570004400","달성IC","108","Y","128.476265","35.766292","2011-03-24"
"1570006000","화원IC입구","101","Y","128.482548","35.797468","2011-03-24"
"1540007700","-","104","Y","128.550998","35.961195","2011-03-24"
"1540007500","-","104","Y","128.550869","35.958648","2011-03-24"
"1540007000","칠곡IC","108","Y","128.536984","35.938931","2011-03-24"
"1540006400","칠곡IC","108","Y","128.534207","35.932885","2011-03-24"
"1540005600","금호터널북단","104","Y","128.531060","35.926179","2011-03-24"
"1540005300","검호터널남단","104","Y","128.528450","35.920593","2011-03-24"
"1510004600","금호2교남측","104","Y","128.633367","35.916877","2011-03-24"
"1540004800","금호1교동측","104","Y","128.606633","35.914024","2011-03-24"
"1540004500","금호1교서측","104","Y","128.600116","35.912847","2011-03-24"
"1540004400","북대구IC","108","Y","128.581826","35.910714","2011-03-24"
