"표준링크ID","출발표준노드","도착표준노드","지도상거리","도로등급코드","도로유형코드","도로번호","도로명","연결로유형코드","통행제한차량유형코드","적용시작일자"
"1500010800","1540010400","1500003100","2372.53","102","02","11","신천대로","000","5","2011-03-24"
"1540023600","1540010400","1540009800","237.45","102","00","11","신천대로","000","5","2011-03-24"
"1540023500","1540009800","1540010400","235.38","102","00","11","신천대로","000","5","2011-03-24"
"1500004900","1500001900","1500000200","276.49","102","00","11","신천대로","000","5","2011-03-24"
"1500005000","1500000200","1500001900","274.03","102","00","11","신천대로","000","5","2011-03-24"
"1540057100","1540020100","1540019400","186.31","104","00","33","호곡로","000","0","2011-03-24"
"1540057000","1540019400","1540020100","186.31","104","00","33","호곡로","000","0","2011-03-24"
"1540063700","1540021900","1540022600","426.89","104","00","33","호곡로","000","0","2011-03-24"
"1540063800","1540022600","1540021900","416.96","104","00","33","호곡로","000","0","2011-03-24"
"1540062500","1540021400","1540021900","239.07","104","00","33","호곡로","000","0","2011-03-24"
"1540062600","1540021900","1540021400","244.52","104","00","33","호곡로","000","0","2011-03-24"
"1550020700","1550007700","1550008200","367.88","104","00","0","신매로","000","0","2011-03-24"
"1550020800","1550008200","1550007700","367.88","104","00","0","신매로","000","0","2011-03-24"
"1550022100","1550008000","1550008700","351.90","104","00","0","사직단길","000","0","2011-03-24"
"1550022200","1550008700","1550008000","345.98","104","00","0","사직단길","000","0","2011-03-24"
"1550025100","1550008700","1550009000","349.89","104","00","0","사직단길","000","0","2011-03-24"
"1550025200","1550009000","1550008700","353.47","104","00","0","사직단길","000","0","2011-03-24"
"1540088800","1540029700","1540029100","158.43","104","00","0","말산4길","000","0","2011-03-24"
"1540088700","1540029100","1540029700","167.96","104","00","0","말산4길","000","0","2011-03-24"
"1540075600","1540026000","1540025500","454.22","104","00","0","팔거서로","000","0","2011-03-24"
"1540075500","1540025500","1540026000","452.56","104","00","0","팔거서로","000","0","2011-03-24"
"1540073100","1540005500","1540024900","295.35","104","00","0","금정2길","000","0","2011-03-24"
"1560059400","1560018500","1560018300","606.03","104","00","0","상서로","000","0","2011-03-24"
"1560059300","1560018300","1560018500","598.71","104","00","0","상서로","000","0","2011-03-24"
"1560028400","1560009500","1560009400","186.01","104","00","0","학산남2길","000","0","2011-03-24"
"1560028300","1560009400","1560009500","186.01","104","00","0","학산남2길","000","0","2011-03-24"
"1560024300","1560008300","1560001100","137.56","104","00","0","종현1길","000","0","2011-03-24"
"1560024400","1560001100","1560008300","137.56","104","00","0","종현1길","000","0","2011-03-24"
"1560066100","1560003300","1560021200","227.47","104","00","0","-","000","0","2011-03-24"
"1560066000","1560020500","1560003200","179.75","104","00","23","와룡공원로","000","0","2011-03-24"
"1560065900","1560003200","1560020500","179.75","104","00","23","와룡공원로","000","0","2011-03-24"
"1560074400","1560023300","1560022300","198.30","104","00","23","와룡공원로","000","0","2011-03-24"
"1560074300","1560022300","1560023300","198.30","104","00","23","와룡공원로","000","0","2011-03-24"
"1560072800","1560022300","1560021800","212.57","104","00","23","와룡공원로","000","0","2011-03-24"
"1560072700","1560021800","1560022300","212.57","104","00","23","와룡공원로","000","0","2011-03-24"
"1560065100","1560002300","1560020200","187.24","104","00","20","성서로","000","0","2011-03-24"
"1560070900","1560021300","1560021400","511.67","104","00","0","이곡공원로","000","0","2011-03-24"
"1560071000","1560021400","1560021300","511.67","104","00","0","이곡공원로","000","0","2011-03-24"
"1560076700","1560023000","1560023100","508.94","104","00","48","선원로","000","0","2011-03-24"
"1560076800","1560023100","1560023000","508.94","104","00","48","선원로","000","0","2011-03-24"
