"도로형태_대분류","도로형태","발생시간_분류","사고건수","사망자수","중상자수","경상자수","부상신고자수"
"단일로","터널안","00시-02시","30","2","20","27","3"
"단일로","터널안","02시-04시","30","2","27","36","0"
"단일로","터널안","04시-06시","36","3","16","29","7"
"단일로","터널안","06시-08시","50","1","19","60","5"
"단일로","터널안","08시-10시","117","0","47","207","20"
"단일로","터널안","10시-12시","79","0","38","139","9"
"단일로","터널안","12시-14시","74","1","27","164","20"
"단일로","터널안","14시-16시","104","2","61","186","51"
"단일로","터널안","16시-18시","101","2","29","196","12"
"단일로","터널안","18시-20시","82","3","26","128","12"
"단일로","터널안","20시-22시","36","2","14","48","14"
"단일로","터널안","22시-24시","42","0","23","46","3"
"단일로","교량위","00시-02시","78","5","33","88","14"
"단일로","교량위","02시-04시","47","5","18","52","4"
"단일로","교량위","04시-06시","73","3","41","68","18"
"단일로","교량위","06시-08시","117","6","49","145","21"
"단일로","교량위","08시-10시","161","4","65","216","15"
"단일로","교량위","10시-12시","127","9","48","173","9"
"단일로","교량위","12시-14시","134","6","48","167","21"
"단일로","교량위","14시-16시","139","3","48","224","17"
"단일로","교량위","16시-18시","168","7","68","226","29"
"단일로","교량위","18시-20시","223","9","77","276","17"
"단일로","교량위","20시-22시","139","6","64","166","16"
"단일로","교량위","22시-24시","113","4","30","150","18"
"단일로","고가도로위","00시-02시","42","2","18","42","4"
"단일로","고가도로위","02시-04시","25","3","15","25","2"
"단일로","고가도로위","04시-06시","26","0","8","27","2"
"단일로","고가도로위","06시-08시","45","0","21","58","3"
"단일로","고가도로위","08시-10시","67","0","35","82","15"
"단일로","고가도로위","10시-12시","51","1","9","89","8"
"단일로","고가도로위","12시-14시","56","2","18","81","8"
"단일로","고가도로위","14시-16시","62","3","20","71","6"
"단일로","고가도로위","16시-18시","73","2","27","93","9"
"단일로","고가도로위","18시-20시","89","1","17","135","8"
"단일로","고가도로위","20시-22시","54","2","26","61","4"
"단일로","고가도로위","22시-24시","48","0","13","62","4"
"단일로","지하차도(도로)내","00시-02시","68","3","29","75","9"
"단일로","지하차도(도로)내","02시-04시","57","8","13","49","1"
"단일로","지하차도(도로)내","04시-06시","54","2","18","53","6"
"단일로","지하차도(도로)내","06시-08시","97","4","40","107","7"
"단일로","지하차도(도로)내","08시-10시","179","3","56","187","11"
"단일로","지하차도(도로)내","10시-12시","193","2","70","225","15"
"단일로","지하차도(도로)내","12시-14시","186","3","73","194","18"
