도로형태_대분류,도로형태,시간대,사고건수,사망자수,중상자수,경상자수,부상신고자수
단일로,터널안,00시-02시,31,6,10,32,6
단일로,터널안,02시-04시,28,3,6,24,6
단일로,터널안,04시-06시,26,1,13,18,0
단일로,터널안,06시-08시,49,2,10,54,8
단일로,터널안,08시-10시,81,1,24,105,9
단일로,터널안,10시-12시,93,4,37,137,15
단일로,터널안,12시-14시,94,2,34,157,20
단일로,터널안,14시-16시,117,5,40,214,24
단일로,터널안,16시-18시,112,1,51,220,21
단일로,터널안,18시-20시,123,1,26,183,20
단일로,터널안,20시-22시,45,0,10,53,4
단일로,터널안,22시-24시,48,1,15,51,8
단일로,교량위,00시-02시,57,1,16,68,10
단일로,교량위,02시-04시,33,2,11,35,3
단일로,교량위,04시-06시,41,4,9,26,8
단일로,교량위,06시-08시,113,2,28,150,11
단일로,교량위,08시-10시,141,4,26,176,15
단일로,교량위,10시-12시,146,4,50,215,17
단일로,교량위,12시-14시,138,6,45,195,17
단일로,교량위,14시-16시,165,8,41,255,16
단일로,교량위,16시-18시,208,4,46,257,21
단일로,교량위,18시-20시,236,5,65,311,23
단일로,교량위,20시-22시,137,5,34,177,6
단일로,교량위,22시-24시,106,3,38,164,5
단일로,고가도로위,00시-02시,30,0,8,29,5
단일로,고가도로위,02시-04시,9,1,2,10,1
단일로,고가도로위,04시-06시,24,1,13,19,4
단일로,고가도로위,06시-08시,51,0,13,72,4
단일로,고가도로위,08시-10시,69,1,20,84,4
단일로,고가도로위,10시-12시,77,1,17,113,0
단일로,고가도로위,12시-14시,71,1,22,89,3
단일로,고가도로위,14시-16시,78,0,25,111,3
단일로,고가도로위,16시-18시,73,0,20,99,1
단일로,고가도로위,18시-20시,101,1,14,161,7
단일로,고가도로위,20시-22시,52,1,12,69,3
단일로,고가도로위,22시-24시,56,2,15,67,2
단일로,지하차도(도로)내,00시-02시,78,5,25,64,6
단일로,지하차도(도로)내,02시-04시,47,3,19,30,5
단일로,지하차도(도로)내,04시-06시,29,4,10,26,2
단일로,지하차도(도로)내,06시-08시,108,4,25,116,9
단일로,지하차도(도로)내,08시-10시,210,3,61,219,7
단일로,지하차도(도로)내,10시-12시,212,12,77,239,12
단일로,지하차도(도로)내,12시-14시,243,11,76,277,19
단일로,지하차도(도로)내,14시-16시,275,3,87,321,20
단일로,지하차도(도로)내,16시-18시,296,5,81,393,14
단일로,지하차도(도로)내,18시-20시,300,7,109,313,17
단일로,지하차도(도로)내,20시-22시,208,7,62,224,13
단일로,지하차도(도로)내,22시-24시,138,6,49,141,13
단일로,기타단일로,00시-02시,2348,96,666,2381,247
단일로,기타단일로,02시-04시,1252,87,409,1125,153
단일로,기타단일로,04시-06시,1474,93,548,1244,148
단일로,기타단일로,06시-08시,4431,146,1310,4397,380
단일로,기타단일로,08시-10시,8061,139,2144,8528,597
단일로,기타단일로,10시-12시,8723,141,2443,9271,736
단일로,기타단일로,12시-14시,9913,145,2796,10642,884
