요일,시간대,사고건수,사망자수,중상자수,경상자수,부상신고자수
일,00시-02시,1507,29,448,1771,154
일,02시-04시,960,32,292,1133,104
일,04시-06시,782,33,307,764,70
일,06시-08시,808,27,298,788,56
일,08시-10시,1210,26,404,1341,137
일,10시-12시,1938,24,644,2304,206
일,12시-14시,2621,23,771,3315,306
일,14시-16시,2858,26,821,3615,328
일,16시-18시,2931,43,900,3621,327
일,18시-20시,3051,48,933,3550,308
일,20시-22시,2328,42,690,2617,225
일,22시-24시,1405,34,387,1554,133
월,00시-02시,758,18,240,820,64
월,02시-04시,460,14,152,473,51
월,04시-06시,725,37,280,624,52
월,06시-08시,2010,46,646,2058,166
월,08시-10시,3599,33,994,3695,297
월,10시-12시,3324,52,1005,3299,291
월,12시-14시,3443,54,1024,3561,296
월,14시-16시,3779,43,1089,3939,337
월,16시-18시,4088,48,1114,4273,357
월,18시-20시,4401,52,1155,4576,372
월,20시-22시,2866,37,799,3058,277
월,22시-24시,1850,23,536,2008,191
화,00시-02시,1117,33,334,1196,134
화,02시-04시,562,22,192,615,59
화,04시-06시,691,25,265,612,67
화,06시-08시,1882,38,547,1891,137
화,08시-10시,3361,35,943,3581,262
화,10시-12시,3142,38,931,3246,277
화,12시-14시,3257,41,927,3435,284
화,14시-16시,3589,44,1026,3784,309
화,16시-18시,4103,47,1082,4342,356
화,18시-20시,4504,48,1179,4710,429
화,20시-22시,2955,35,907,3095,287
화,22시-24시,1935,37,534,2180,188
수,00시-02시,1145,27,373,1259,129
수,02시-04시,596,17,210,595,79
수,04시-06시,699,35,276,636,79
수,06시-08시,1911,41,610,1861,177
수,08시-10시,3309,39,922,3507,272
수,10시-12시,3130,45,967,3030,275
수,12시-14시,3141,53,964,3223,270
수,14시-16시,3494,57,981,3626,327
수,16시-18시,4060,39,1058,4310,381
수,18시-20시,4722,55,1271,4968,387
수,20시-22시,3086,46,849,3255,277
수,22시-24시,2087,38,571,2285,200
목,00시-02시,1198,35,369,1381,110
목,02시-04시,604,22,200,601,69
목,04시-06시,711,24,270,656,72
목,06시-08시,1956,33,611,1911,149
목,08시-10시,3219,30,882,3427,295
목,10시-12시,3079,30,841,3189,277
목,12시-14시,3295,37,999,3402,305
목,14시-16시,3569,43,998,3759,326
목,16시-18시,4024,34,1072,4233,392
목,18시-20시,4539,59,1198,4781,397
목,20시-22시,3025,42,802,3151,274
목,22시-24시,2116,37,590,2351,195
금,00시-02시,1257,33,360,1397,129
금,02시-04시,617,22,196,633,68
금,04시-06시,751,42,276,692,62
금,06시-08시,1742,31,561,1772,133
금,08시-10시,3056,40,838,3174,257
금,10시-12시,2965,38,892,3046,279
금,12시-14시,3256,41,944,3497,270
금,14시-16시,3651,45,1031,4050,341
금,16시-18시,4315,35,1158,4780,415
금,18시-20시,4967,54,1264,5475,461
금,20시-22시,3552,45,912,3924,363
금,22시-24시,2621,41,736,2935,219
토,00시-02시,1758,20,519,2050,183
토,02시-04시,983,24,336,1102,110
토,04시-06시,874,34,295,866,89
토,06시-08시,1206,37,434,1168,113
토,08시-10시,2041,32,676,2119,158
토,10시-12시,3235,30,979,3771,309
토,12시-14시,3692,32,1030,4472,352
토,14시-16시,3577,51,984,4348,396
토,16시-18시,3530,37,1021,4281,392
토,18시-20시,3595,41,1037,3944,355
토,20시-22시,2829,36,825,3293,321
토,22시-24시,2069,35,580,2406,211
