발생월,요일,사고건수,사망자수,중상자수,경상자수,부상신고자수
01,일,1551,24,496,1934,152
01,월,2339,35,728,2454,219
01,화,2533,40,722,2652,207
01,수,2767,55,820,2961,265
01,목,2977,53,820,3221,303
01,금,2800,50,842,3099,281
01,토,2001,20,635,2375,256
02,일,1662,25,468,1935,180
02,월,2395,34,671,2559,217
02,화,2452,34,668,2624,255
02,수,2449,35,666,2510,235
02,목,2349,27,644,2478,225
02,금,2476,32,652,2640,221
02,토,2502,35,694,2784,232
03,일,1739,37,533,2046,148
03,월,2581,44,753,2652,238
03,화,2398,34,696,2482,208
03,수,1995,30,579,2068,167
03,목,2017,32,585,2182,182
03,금,2255,30,651,2434,191
03,토,1964,32,559,2291,178
04,일,1680,31,553,1992,156
04,월,2225,24,632,2318,204
04,화,2243,24,698,2367,166
04,수,2728,46,793,2914,256
04,목,2761,34,791,2948,253
04,금,2312,30,672,2419,212
04,토,2237,24,705,2501,231
05,일,2196,36,713,2559,260
05,월,2486,33,710,2608,188
05,화,2144,31,650,2247,237
05,수,2609,40,774,2649,239
05,목,2483,30,719,2462,236
05,금,3369,43,997,3621,311
05,토,2897,41,907,3417,287
06,일,1990,25,610,2397,220
06,월,3421,37,993,3432,317
06,화,3210,44,956,3453,276
06,수,2620,39,773,2687,259
06,목,2466,24,748,2552,232
06,금,2844,49,802,3015,257
06,토,2466,36,732,2900,269
07,일,1786,26,583,2076,215
07,월,2261,29,644,2338,214
07,화,2373,35,675,2490,220
07,수,3012,46,826,3146,302
07,목,3142,45,874,3320,332
07,금,3264,35,876,3632,288
07,토,2464,24,729,2931,258
08,일,2220,51,684,2644,258
08,월,2854,55,870,3070,270
08,화,2475,35,670,2699,237
08,수,2367,37,709,2529,200
08,목,2341,36,650,2472,197
08,금,2517,38,692,2730,240
08,토,2842,43,848,3266,329
09,일,1897,47,605,2210,207
09,월,2680,40,720,2798,221
09,화,3225,48,907,3367,276
09,수,2745,44,803,2806,242
09,목,2310,34,679,2270,201
09,금,2754,53,739,2804,236
09,토,2513,35,741,2746,261
10,일,1949,35,577,2273,199
10,월,2676,45,785,2668,220
10,화,2621,44,719,2712,238
10,수,2584,47,747,2621,198
10,목,3097,32,889,3319,248
10,금,3248,50,927,3661,333
10,토,3080,56,910,3646,300
11,일,2319,36,685,2745,216
11,월,3174,48,924,3234,246
11,화,2633,39,764,2800,208
11,수,2700,33,807,2799,243
11,목,2537,51,672,2665,211
11,금,2639,25,732,2793,242
11,토,2436,29,711,2796,205
12,일,1410,14,388,1562,143
12,월,2211,33,604,2253,197
12,화,2791,35,742,2794,261
12,수,2804,40,755,2865,247
12,목,2855,28,761,2953,241
12,금,2272,32,586,2527,185
12,토,1987,34,545,2167,183
