ID,ECLO
ACCIDENT_39609,3.6404185
ACCIDENT_39610,3.550745
ACCIDENT_39611,4.5124164
ACCIDENT_39612,3.9787455
ACCIDENT_39613,4.3012753
ACCIDENT_39614,3.7090554
ACCIDENT_39615,4.093504
ACCIDENT_39616,3.6152472
ACCIDENT_39617,3.9093003
ACCIDENT_39618,4.1160984
ACCIDENT_39619,3.9244928
ACCIDENT_39620,3.4502149
ACCIDENT_39621,3.8486843
ACCIDENT_39622,3.450883
ACCIDENT_39623,3.2601104
ACCIDENT_39624,3.9527302
ACCIDENT_39625,3.9714122
ACCIDENT_39626,4.02958
ACCIDENT_39627,4.109216
ACCIDENT_39628,4.227017
ACCIDENT_39629,3.2599182
ACCIDENT_39630,3.3227658
ACCIDENT_39631,3.9145098
ACCIDENT_39632,3.8575797
ACCIDENT_39633,3.970293
ACCIDENT_39634,4.1982193
ACCIDENT_39635,4.061729
ACCIDENT_39636,4.1366973
ACCIDENT_39637,3.5164242
ACCIDENT_39638,3.9527302
ACCIDENT_39639,4.121313
ACCIDENT_39640,3.8486843
ACCIDENT_39641,3.9257846
ACCIDENT_39642,3.4359193
ACCIDENT_39643,4.061729
ACCIDENT_39644,3.2601104
ACCIDENT_39645,3.3243895
ACCIDENT_39646,4.176283
ACCIDENT_39647,4.3116574
ACCIDENT_39648,4.3615465
ACCIDENT_39649,3.2601104
ACCIDENT_39650,3.6296363
ACCIDENT_39651,3.291278
ACCIDENT_39652,4.3950553
ACCIDENT_39653,3.5324173
ACCIDENT_39654,3.6812983
ACCIDENT_39655,3.784093
ACCIDENT_39656,3.5859065
ACCIDENT_39657,3.9601393
ACCIDENT_39658,4.2072744
ACCIDENT_39659,3.7538157
ACCIDENT_39660,4.25159
ACCIDENT_39661,3.9421701
ACCIDENT_39662,4.5765924
ACCIDENT_39663,4.149702
ACCIDENT_39664,3.6538577
ACCIDENT_39665,3.9093003
ACCIDENT_39666,3.450883
ACCIDENT_39667,4.0067873
ACCIDENT_39668,3.516842
ACCIDENT_39669,3.5337129
ACCIDENT_39670,3.9011478
ACCIDENT_39671,4.4478116
ACCIDENT_39672,4.2982926
ACCIDENT_39673,3.5187302
ACCIDENT_39674,4.3012753
ACCIDENT_39675,3.559198
ACCIDENT_39676,4.136488
ACCIDENT_39677,3.3686633
ACCIDENT_39678,3.52737
ACCIDENT_39679,4.0980225
ACCIDENT_39680,4.046023
ACCIDENT_39681,3.272431
ACCIDENT_39682,3.834754
ACCIDENT_39683,3.7009683
ACCIDENT_39684,3.2740655
ACCIDENT_39685,3.851057
ACCIDENT_39686,4.4919295
ACCIDENT_39687,4.3064184
ACCIDENT_39688,3.3227658
ACCIDENT_39689,4.3460546
ACCIDENT_39690,4.09732
ACCIDENT_39691,3.6697989
ACCIDENT_39692,3.8246007
ACCIDENT_39693,3.5706391
ACCIDENT_39694,4.3217134
ACCIDENT_39695,4.017784
ACCIDENT_39696,4.401296
ACCIDENT_39697,3.9512796
ACCIDENT_39698,4.093504
ACCIDENT_39699,3.7220855
ACCIDENT_39700,3.9817905
ACCIDENT_39701,4.1192217
ACCIDENT_39702,4.0312586
ACCIDENT_39703,4.417157
ACCIDENT_39704,4.224425
ACCIDENT_39705,3.9207978
ACCIDENT_39706,3.6375656
ACCIDENT_39707,4.1859403
ACCIDENT_39708,4.174443
ACCIDENT_39709,4.216787
ACCIDENT_39710,3.5004034
ACCIDENT_39711,3.650012
ACCIDENT_39712,3.6336336
ACCIDENT_39713,4.019761
ACCIDENT_39714,4.3498063
ACCIDENT_39715,4.3064184
ACCIDENT_39716,3.9958453
ACCIDENT_39717,3.9575062
ACCIDENT_39718,4.019761
ACCIDENT_39719,3.9486423
ACCIDENT_39720,3.9421701
ACCIDENT_39721,4.2072744
ACCIDENT_39722,4.174443
ACCIDENT_39723,4.1077237
ACCIDENT_39724,4.052395
ACCIDENT_39725,4.2072744
ACCIDENT_39726,4.4452934
ACCIDENT_39727,3.450883
ACCIDENT_39728,3.9512796
ACCIDENT_39729,4.1441336
ACCIDENT_39730,4.3498063
ACCIDENT_39731,4.244208
ACCIDENT_39732,3.645646
ACCIDENT_39733,3.9486423
ACCIDENT_39734,3.5337129
ACCIDENT_39735,3.8385649
ACCIDENT_39736,3.8822107
ACCIDENT_39737,3.4106836
ACCIDENT_39738,4.1077237
ACCIDENT_39739,4.2072744
ACCIDENT_39740,4.0251875
ACCIDENT_39741,3.550745
ACCIDENT_39742,4.0298305
ACCIDENT_39743,3.9455376
ACCIDENT_39744,4.1918645
ACCIDENT_39745,4.0390463
ACCIDENT_39746,3.567184
ACCIDENT_39747,3.9902434
ACCIDENT_39748,4.1490793
ACCIDENT_39749,3.3227658
ACCIDENT_39750,4.021934
ACCIDENT_39751,3.5688038
ACCIDENT_39752,4.3116574
ACCIDENT_39753,4.0480638
ACCIDENT_39754,4.1019506
ACCIDENT_39755,3.5882645
ACCIDENT_39756,3.9575062
ACCIDENT_39757,4.084847
ACCIDENT_39758,4.4690027
ACCIDENT_39759,3.7078738
ACCIDENT_39760,4.224425
ACCIDENT_39761,3.9949656
ACCIDENT_39762,4.375345
ACCIDENT_39763,4.0396385
ACCIDENT_39764,3.6538577
ACCIDENT_39765,4.270789
ACCIDENT_39766,3.6611648
ACCIDENT_39767,3.769463
ACCIDENT_39768,3.5808792
ACCIDENT_39769,4.372582
ACCIDENT_39770,4.1232405
ACCIDENT_39771,4.0422115
ACCIDENT_39772,4.1455483
ACCIDENT_39773,4.0245852
ACCIDENT_39774,3.9164658
ACCIDENT_39775,3.4502149
ACCIDENT_39776,3.2740717
ACCIDENT_39777,4.200376
ACCIDENT_39778,3.9536672
ACCIDENT_39779,4.400023
ACCIDENT_39780,4.2206464
ACCIDENT_39781,3.9128976
ACCIDENT_39782,4.2306814
ACCIDENT_39783,4.2072744
ACCIDENT_39784,4.778136
ACCIDENT_39785,4.2533402
ACCIDENT_39786,3.524094
ACCIDENT_39787,4.545077
ACCIDENT_39788,3.5674167
ACCIDENT_39789,4.1867213
ACCIDENT_39790,4.1562357
ACCIDENT_39791,3.7725105
ACCIDENT_39792,3.4113503
ACCIDENT_39793,4.1490793
ACCIDENT_39794,3.5207467
ACCIDENT_39795,4.205009
ACCIDENT_39796,3.54559
ACCIDENT_39797,4.1397414
ACCIDENT_39798,4.1060925
ACCIDENT_39799,4.0732265
ACCIDENT_39800,4.0968547
ACCIDENT_39801,3.9918952
ACCIDENT_39802,4.2095995
ACCIDENT_39803,4.3131433
ACCIDENT_39804,4.3313403
ACCIDENT_39805,3.524094
ACCIDENT_39806,4.210138
ACCIDENT_39807,4.9116626
ACCIDENT_39808,4.291247
ACCIDENT_39809,4.0980225
ACCIDENT_39810,3.6027803
ACCIDENT_39811,3.5337367
ACCIDENT_39812,4.061729
ACCIDENT_39813,3.9512796
ACCIDENT_39814,3.6322794
ACCIDENT_39815,4.224369
ACCIDENT_39816,4.3678937
ACCIDENT_39817,3.9450269
ACCIDENT_39818,4.5030794
ACCIDENT_39819,4.5350943
ACCIDENT_39820,4.361304
ACCIDENT_39821,4.2072744
ACCIDENT_39822,4.6137557
ACCIDENT_39823,4.228284
ACCIDENT_39824,4.055625
ACCIDENT_39825,4.216787
ACCIDENT_39826,3.8486843
ACCIDENT_39827,4.1098156
ACCIDENT_39828,4.0101824
ACCIDENT_39829,4.139139
ACCIDENT_39830,4.3246408
ACCIDENT_39831,4.279434
ACCIDENT_39832,4.2429986
ACCIDENT_39833,4.4604335
ACCIDENT_39834,4.2642555
ACCIDENT_39835,3.3316436
ACCIDENT_39836,4.326879
ACCIDENT_39837,3.9164658
ACCIDENT_39838,4.014535
ACCIDENT_39839,4.288997
ACCIDENT_39840,3.9565244
ACCIDENT_39841,4.1060925
ACCIDENT_39842,3.8002295
ACCIDENT_39843,4.356978
ACCIDENT_39844,3.978919
ACCIDENT_39845,4.575907
ACCIDENT_39846,4.0360827
ACCIDENT_39847,4.228284
ACCIDENT_39848,4.691558
ACCIDENT_39849,4.061729
ACCIDENT_39850,3.5164242
ACCIDENT_39851,4.2238903
ACCIDENT_39852,3.9512796
ACCIDENT_39853,3.7178035
ACCIDENT_39854,4.224425
ACCIDENT_39855,4.288997
ACCIDENT_39856,4.0968547
ACCIDENT_39857,4.19864
ACCIDENT_39858,4.260649
ACCIDENT_39859,4.227017
ACCIDENT_39860,4.176283
ACCIDENT_39861,3.4817324
ACCIDENT_39862,4.244208
ACCIDENT_39863,3.2923913
ACCIDENT_39864,3.5292187
ACCIDENT_39865,3.6627984
ACCIDENT_39866,4.057042
ACCIDENT_39867,4.0396385
ACCIDENT_39868,4.1859403
ACCIDENT_39869,4.3064184
ACCIDENT_39870,4.3885255
ACCIDENT_39871,4.11759
ACCIDENT_39872,4.0015445
ACCIDENT_39873,3.7270308
ACCIDENT_39874,4.1500106
ACCIDENT_39875,4.021934
ACCIDENT_39876,3.7148876
ACCIDENT_39877,4.0521665
ACCIDENT_39878,3.864552
ACCIDENT_39879,4.210138
ACCIDENT_39880,3.2599187
ACCIDENT_39881,3.6582284
ACCIDENT_39882,4.1455483
ACCIDENT_39883,3.957035
ACCIDENT_39884,4.1747503
ACCIDENT_39885,4.1818514
ACCIDENT_39886,3.827067
ACCIDENT_39887,4.23735
ACCIDENT_39888,4.0345254
ACCIDENT_39889,3.5879054
ACCIDENT_39890,4.217119
ACCIDENT_39891,4.176521
ACCIDENT_39892,3.8006577
ACCIDENT_39893,4.1918645
ACCIDENT_39894,3.5151668
ACCIDENT_39895,4.007343
ACCIDENT_39896,3.9627771
ACCIDENT_39897,4.0455446
ACCIDENT_39898,3.6611648
ACCIDENT_39899,4.272146
ACCIDENT_39900,3.9817905
ACCIDENT_39901,4.6746464
ACCIDENT_39902,3.456904
ACCIDENT_39903,4.1077237
ACCIDENT_39904,3.5706391
ACCIDENT_39905,3.9143405
ACCIDENT_39906,4.0390463
ACCIDENT_39907,4.1119833
ACCIDENT_39908,4.3502507
ACCIDENT_39909,3.9829931
ACCIDENT_39910,4.093504
ACCIDENT_39911,4.153868
ACCIDENT_39912,4.061729
ACCIDENT_39913,3.9829931
ACCIDENT_39914,3.8530545
ACCIDENT_39915,3.6437855
ACCIDENT_39916,3.9548755
ACCIDENT_39917,3.6236434
ACCIDENT_39918,4.462804
ACCIDENT_39919,4.3978624
ACCIDENT_39920,4.02958
ACCIDENT_39921,4.174443
ACCIDENT_39922,4.216787
ACCIDENT_39923,3.598363
ACCIDENT_39924,4.1918645
ACCIDENT_39925,4.2222776
ACCIDENT_39926,4.2238903
ACCIDENT_39927,3.6172905
ACCIDENT_39928,4.093473
ACCIDENT_39929,3.9421701
ACCIDENT_39930,4.3498063
ACCIDENT_39931,3.9902434
ACCIDENT_39932,4.135604
ACCIDENT_39933,3.9949656
ACCIDENT_39934,4.0968547
ACCIDENT_39935,4.061729
ACCIDENT_39936,4.014535
ACCIDENT_39937,3.8601818
