ID,ECLO
ACCIDENT_39609,3.9024541
ACCIDENT_39610,3.5452845
ACCIDENT_39611,4.4305954
ACCIDENT_39612,4.0151105
ACCIDENT_39613,4.1700706
ACCIDENT_39614,3.4659338
ACCIDENT_39615,4.0771546
ACCIDENT_39616,3.601831
ACCIDENT_39617,3.842237
ACCIDENT_39618,4.087321
ACCIDENT_39619,3.653822
ACCIDENT_39620,3.3604734
ACCIDENT_39621,3.6168747
ACCIDENT_39622,3.3055413
ACCIDENT_39623,3.0921702
ACCIDENT_39624,3.8649838
ACCIDENT_39625,3.86269
ACCIDENT_39626,3.795093
ACCIDENT_39627,3.8769612
ACCIDENT_39628,4.0880547
ACCIDENT_39629,3.3368404
ACCIDENT_39630,3.179665
ACCIDENT_39631,3.928194
ACCIDENT_39632,3.812843
ACCIDENT_39633,3.9257832
ACCIDENT_39634,4.128803
ACCIDENT_39635,3.9437342
ACCIDENT_39636,4.308696
ACCIDENT_39637,3.4337769
ACCIDENT_39638,3.9740548
ACCIDENT_39639,3.8705301
ACCIDENT_39640,3.7219722
ACCIDENT_39641,3.8789039
ACCIDENT_39642,3.1754665
ACCIDENT_39643,3.8229532
ACCIDENT_39644,3.0921702
ACCIDENT_39645,3.1828792
ACCIDENT_39646,4.0100484
ACCIDENT_39647,3.8746083
ACCIDENT_39648,4.296858
ACCIDENT_39649,3.0921702
ACCIDENT_39650,3.7444587
ACCIDENT_39651,3.2248445
ACCIDENT_39652,4.3523307
ACCIDENT_39653,3.507934
ACCIDENT_39654,3.3273106
ACCIDENT_39655,3.6781273
ACCIDENT_39656,3.5338852
ACCIDENT_39657,3.7557068
ACCIDENT_39658,3.9012856
ACCIDENT_39659,3.6990275
ACCIDENT_39660,4.0310616
ACCIDENT_39661,3.6760883
ACCIDENT_39662,4.3614526
ACCIDENT_39663,3.843717
ACCIDENT_39664,3.6199033
ACCIDENT_39665,3.720447
ACCIDENT_39666,3.2869067
ACCIDENT_39667,3.703341
ACCIDENT_39668,3.4576883
ACCIDENT_39669,3.3523083
ACCIDENT_39670,3.6691267
ACCIDENT_39671,3.782597
ACCIDENT_39672,4.2483573
ACCIDENT_39673,3.5031474
ACCIDENT_39674,4.005207
ACCIDENT_39675,3.769424
ACCIDENT_39676,3.8133779
ACCIDENT_39677,3.0921822
ACCIDENT_39678,3.6105487
ACCIDENT_39679,3.7173705
ACCIDENT_39680,3.7672567
ACCIDENT_39681,3.0926533
ACCIDENT_39682,3.67734
ACCIDENT_39683,3.7419589
ACCIDENT_39684,3.0921803
ACCIDENT_39685,3.9375367
ACCIDENT_39686,3.9913425
ACCIDENT_39687,3.943835
ACCIDENT_39688,3.1403928
ACCIDENT_39689,3.921546
ACCIDENT_39690,3.7677336
ACCIDENT_39691,3.8260055
ACCIDENT_39692,3.4793258
ACCIDENT_39693,3.5085828
ACCIDENT_39694,3.9883416
ACCIDENT_39695,3.760522
ACCIDENT_39696,3.9973102
ACCIDENT_39697,3.7669578
ACCIDENT_39698,3.9436817
ACCIDENT_39699,3.6507363
ACCIDENT_39700,3.8341815
ACCIDENT_39701,3.953599
ACCIDENT_39702,3.8668854
ACCIDENT_39703,4.024463
ACCIDENT_39704,3.8792796
ACCIDENT_39705,3.7881832
ACCIDENT_39706,3.2720628
ACCIDENT_39707,3.9376168
ACCIDENT_39708,3.8581982
ACCIDENT_39709,3.806554
ACCIDENT_39710,3.6032176
ACCIDENT_39711,3.532104
ACCIDENT_39712,3.9100308
