ID,ECLO
ACCIDENT_39609,3.6736872
ACCIDENT_39610,3.4970691
ACCIDENT_39611,4.549923
ACCIDENT_39612,3.9486713
ACCIDENT_39613,4.3012886
ACCIDENT_39614,3.7269652
ACCIDENT_39615,4.080683
ACCIDENT_39616,3.5501232
ACCIDENT_39617,3.8599482
ACCIDENT_39618,4.0852914
ACCIDENT_39619,3.8893125
ACCIDENT_39620,3.3344944
ACCIDENT_39621,3.8136947
ACCIDENT_39622,3.3343263
ACCIDENT_39623,2.9593527
ACCIDENT_39624,3.9614089
ACCIDENT_39625,3.9397433
ACCIDENT_39626,4.007203
ACCIDENT_39627,4.1877494
ACCIDENT_39628,4.2051053
ACCIDENT_39629,3.1185405
ACCIDENT_39630,3.1684418
ACCIDENT_39631,3.912342
ACCIDENT_39632,3.9059646
ACCIDENT_39633,3.9382956
ACCIDENT_39634,4.2001863
ACCIDENT_39635,4.044821
ACCIDENT_39636,4.4980893
ACCIDENT_39637,3.4389224
ACCIDENT_39638,3.9614089
ACCIDENT_39639,4.113991
ACCIDENT_39640,3.8136947
ACCIDENT_39641,3.9149554
ACCIDENT_39642,3.44364
ACCIDENT_39643,4.044821
ACCIDENT_39644,2.9593527
ACCIDENT_39645,3.4641027
ACCIDENT_39646,4.1572027
ACCIDENT_39647,4.335241
ACCIDENT_39648,4.364014
ACCIDENT_39649,2.9593527
ACCIDENT_39650,3.6316082
ACCIDENT_39651,3.326289
ACCIDENT_39652,4.428544
ACCIDENT_39653,3.4291675
ACCIDENT_39654,3.6934125
ACCIDENT_39655,3.7583687
ACCIDENT_39656,3.5661185
ACCIDENT_39657,3.9250724
ACCIDENT_39658,4.212652
ACCIDENT_39659,3.72266
ACCIDENT_39660,4.2478642
ACCIDENT_39661,3.8651836
ACCIDENT_39662,4.643302
ACCIDENT_39663,4.151366
ACCIDENT_39664,3.6041439
ACCIDENT_39665,3.8599482
ACCIDENT_39666,3.3343263
ACCIDENT_39667,3.9818242
ACCIDENT_39668,3.4419549
ACCIDENT_39669,3.455282
ACCIDENT_39670,3.8679163
ACCIDENT_39671,4.4935274
ACCIDENT_39672,4.3561544
ACCIDENT_39673,3.5533965
ACCIDENT_39674,4.3012886
ACCIDENT_39675,3.5361962
ACCIDENT_39676,4.1134415
ACCIDENT_39677,3.378104
ACCIDENT_39678,3.4707053
ACCIDENT_39679,4.0458674
ACCIDENT_39680,4.0257573
ACCIDENT_39681,3.2715454
ACCIDENT_39682,3.81607
ACCIDENT_39683,3.7147412
ACCIDENT_39684,3.2227123
ACCIDENT_39685,4.3329883
ACCIDENT_39686,4.541427
ACCIDENT_39687,4.2943583
ACCIDENT_39688,3.1684418
ACCIDENT_39689,4.357362
ACCIDENT_39690,4.0866046
ACCIDENT_39691,3.6551745
ACCIDENT_39692,3.7725723
ACCIDENT_39693,3.5334003
ACCIDENT_39694,4.3473945
ACCIDENT_39695,3.9874465
ACCIDENT_39696,4.4415584
ACCIDENT_39697,4.0855365
ACCIDENT_39698,4.080683
ACCIDENT_39699,3.7055378
ACCIDENT_39700,3.9495752
ACCIDENT_39701,4.1084485
ACCIDENT_39702,4.0043883
ACCIDENT_39703,4.435654
ACCIDENT_39704,4.2341766
ACCIDENT_39705,3.8747737
ACCIDENT_39706,3.626209
ACCIDENT_39707,4.18806
ACCIDENT_39708,4.1767797
ACCIDENT_39709,4.222457
ACCIDENT_39710,3.411722
ACCIDENT_39711,3.5763578
ACCIDENT_39712,3.659612
ACCIDENT_39713,3.9931087
ACCIDENT_39714,4.382697
ACCIDENT_39715,4.2943583
ACCIDENT_39716,3.9872034
ACCIDENT_39717,3.878023
ACCIDENT_39718,3.9931087
ACCIDENT_39719,3.9137928
ACCIDENT_39720,3.8651836
ACCIDENT_39721,4.212652
ACCIDENT_39722,4.1767797
ACCIDENT_39723,4.097169
ACCIDENT_39724,4.024671
ACCIDENT_39725,4.212652
ACCIDENT_39726,4.5546265
ACCIDENT_39727,3.3343263
ACCIDENT_39728,4.0855365
ACCIDENT_39729,4.119585
ACCIDENT_39730,4.382697
ACCIDENT_39731,4.2583084
ACCIDENT_39732,3.6292155
ACCIDENT_39733,3.9137928
ACCIDENT_39734,3.455282
ACCIDENT_39735,3.7841604
ACCIDENT_39736,3.8398178
ACCIDENT_39737,3.4229338
ACCIDENT_39738,4.097169
ACCIDENT_39739,4.212652
ACCIDENT_39740,4.00295
ACCIDENT_39741,3.4970691
ACCIDENT_39742,3.9858673
ACCIDENT_39743,3.8979943
ACCIDENT_39744,4.1819763
ACCIDENT_39745,4.0016947
ACCIDENT_39746,3.5244935
ACCIDENT_39747,3.9599512
ACCIDENT_39748,4.1268597
ACCIDENT_39749,3.1684418
ACCIDENT_39750,4.0010595
ACCIDENT_39751,3.5321186
ACCIDENT_39752,4.335241
ACCIDENT_39753,3.9854786
ACCIDENT_39754,4.0895023
ACCIDENT_39755,3.5603335
ACCIDENT_39756,3.878023
ACCIDENT_39757,4.050678
ACCIDENT_39758,4.5179205
ACCIDENT_39759,3.7366297
ACCIDENT_39760,4.2341766
ACCIDENT_39761,3.9447646
ACCIDENT_39762,4.3768463
ACCIDENT_39763,4.23325
ACCIDENT_39764,3.6041439
ACCIDENT_39765,4.26998
ACCIDENT_39766,3.684941
ACCIDENT_39767,3.8405018
ACCIDENT_39768,3.5511396
ACCIDENT_39769,4.464767
ACCIDENT_39770,4.2147803
ACCIDENT_39771,4.0219855
ACCIDENT_39772,4.124632
ACCIDENT_39773,4.003251
ACCIDENT_39774,3.9163797
