ID,ECLO
ACCIDENT_39609,3.6765418
ACCIDENT_39610,3.49725
ACCIDENT_39611,4.601653
ACCIDENT_39612,3.9745016
ACCIDENT_39613,4.3629184
ACCIDENT_39614,3.7424216
ACCIDENT_39615,4.1468606
ACCIDENT_39616,3.5550966
ACCIDENT_39617,3.8898654
ACCIDENT_39618,4.154321
ACCIDENT_39619,3.9166217
ACCIDENT_39620,3.341309
ACCIDENT_39621,3.839848
ACCIDENT_39622,3.3345103
ACCIDENT_39623,2.8629975
ACCIDENT_39624,3.9582815
ACCIDENT_39625,3.9700027
ACCIDENT_39626,4.031444
ACCIDENT_39627,4.1435785
ACCIDENT_39628,4.269825
ACCIDENT_39629,3.1427536
ACCIDENT_39630,3.1695561
ACCIDENT_39631,3.8636308
ACCIDENT_39632,3.8401794
ACCIDENT_39633,3.9650578
ACCIDENT_39634,4.2249684
ACCIDENT_39635,4.0676894
ACCIDENT_39636,4.282267
ACCIDENT_39637,3.4389305
ACCIDENT_39638,3.9582815
ACCIDENT_39639,4.139434
ACCIDENT_39640,3.839848
ACCIDENT_39641,3.8723965
ACCIDENT_39642,2.3186913
ACCIDENT_39643,4.0676894
ACCIDENT_39644,2.8629975
ACCIDENT_39645,3.503224
ACCIDENT_39646,4.2210298
ACCIDENT_39647,4.3504486
ACCIDENT_39648,4.4231796
ACCIDENT_39649,2.8629975
ACCIDENT_39650,3.63199
ACCIDENT_39651,3.3453107
ACCIDENT_39652,4.44538
ACCIDENT_39653,3.4218159
ACCIDENT_39654,3.689834
ACCIDENT_39655,3.7146096
ACCIDENT_39656,3.5667262
ACCIDENT_39657,3.95607
ACCIDENT_39658,4.2317076
ACCIDENT_39659,3.6798878
ACCIDENT_39660,4.308685
ACCIDENT_39661,3.9018245
ACCIDENT_39662,4.648173
ACCIDENT_39663,4.172877
ACCIDENT_39664,3.5670338
ACCIDENT_39665,3.8898654
ACCIDENT_39666,3.3345103
ACCIDENT_39667,4.00684
ACCIDENT_39668,3.44249
ACCIDENT_39669,3.467791
ACCIDENT_39670,3.8956885
ACCIDENT_39671,4.5074368
ACCIDENT_39672,4.295789
ACCIDENT_39673,3.5599918
ACCIDENT_39674,4.3629184
ACCIDENT_39675,3.541007
ACCIDENT_39676,4.1601543
ACCIDENT_39677,3.3758993
ACCIDENT_39678,3.4843245
ACCIDENT_39679,4.0853653
ACCIDENT_39680,4.055733
ACCIDENT_39681,3.3036628
ACCIDENT_39682,3.7706523
ACCIDENT_39683,3.7065892
ACCIDENT_39684,3.274643
ACCIDENT_39685,3.997108
ACCIDENT_39686,4.551172
ACCIDENT_39687,4.3562694
ACCIDENT_39688,3.1695561
ACCIDENT_39689,4.414992
ACCIDENT_39690,4.112702
ACCIDENT_39691,3.6583376
ACCIDENT_39692,3.8034515
ACCIDENT_39693,3.5355115
ACCIDENT_39694,4.365607
ACCIDENT_39695,4.01323
ACCIDENT_39696,4.452387
ACCIDENT_39697,4.0825944
ACCIDENT_39698,4.1468606
ACCIDENT_39699,3.6198359
ACCIDENT_39700,3.9804482
ACCIDENT_39701,4.134019
ACCIDENT_39702,4.034562
ACCIDENT_39703,4.491816
