ID,ECLO
ACCIDENT_39609,4.39448
ACCIDENT_39610,3.8444233
ACCIDENT_39611,4.4371552
ACCIDENT_39612,3.8006358
ACCIDENT_39613,4.2358546
ACCIDENT_39614,3.5531688
ACCIDENT_39615,4.0565667
ACCIDENT_39616,3.7602773
ACCIDENT_39617,3.7207294
ACCIDENT_39618,4.062186
ACCIDENT_39619,3.726201
ACCIDENT_39620,3.7207294
ACCIDENT_39621,3.6685114
ACCIDENT_39622,3.6711056
ACCIDENT_39623,3.2403228
ACCIDENT_39624,3.9192336
ACCIDENT_39625,3.940056
ACCIDENT_39626,3.8472023
ACCIDENT_39627,3.7887306
ACCIDENT_39628,4.1505904
ACCIDENT_39629,3.7788398
ACCIDENT_39630,3.778707
ACCIDENT_39631,3.772576
ACCIDENT_39632,3.7775087
ACCIDENT_39633,3.7920694
ACCIDENT_39634,4.147648
ACCIDENT_39635,3.8775454
ACCIDENT_39636,4.1329927
ACCIDENT_39637,3.7585716
ACCIDENT_39638,3.9192336
ACCIDENT_39639,4.0802536
ACCIDENT_39640,3.6685114
ACCIDENT_39641,3.8947325
ACCIDENT_39642,4.0508637
ACCIDENT_39643,3.8775454
ACCIDENT_39644,3.2403228
ACCIDENT_39645,3.9697952
ACCIDENT_39646,4.120285
ACCIDENT_39647,4.111252
ACCIDENT_39648,4.279941
ACCIDENT_39649,3.2403228
ACCIDENT_39650,4.014537
ACCIDENT_39651,3.9272673
ACCIDENT_39652,4.3301864
ACCIDENT_39653,3.7602773
ACCIDENT_39654,3.9516397
ACCIDENT_39655,3.5792623
ACCIDENT_39656,3.9850888
ACCIDENT_39657,3.9272616
ACCIDENT_39658,4.0116806
ACCIDENT_39659,3.554549
ACCIDENT_39660,4.1954994
ACCIDENT_39661,3.7524366
ACCIDENT_39662,4.3580637
ACCIDENT_39663,3.9674537
ACCIDENT_39664,3.4769402
ACCIDENT_39665,3.7207294
ACCIDENT_39666,3.6711056
ACCIDENT_39667,3.8277566
ACCIDENT_39668,3.7920694
ACCIDENT_39669,3.7727203
ACCIDENT_39670,3.711681
ACCIDENT_39671,4.3850513
ACCIDENT_39672,4.2042685
ACCIDENT_39673,3.938944
ACCIDENT_39674,4.2358546
ACCIDENT_39675,4.2358546
ACCIDENT_39676,4.0870852
ACCIDENT_39677,3.993115
ACCIDENT_39678,4.1277575
ACCIDENT_39679,4.01546
ACCIDENT_39680,4.0096984
ACCIDENT_39681,3.9074793
ACCIDENT_39682,3.6287913
ACCIDENT_39683,3.9271836
ACCIDENT_39684,3.9272535
ACCIDENT_39685,3.975948
ACCIDENT_39686,4.274358
ACCIDENT_39687,4.219724
ACCIDENT_39688,3.778707
ACCIDENT_39689,4.283209
ACCIDENT_39690,4.0586066
ACCIDENT_39691,3.8649607
ACCIDENT_39692,3.6458867
ACCIDENT_39693,3.9123235
ACCIDENT_39694,4.2680397
ACCIDENT_39695,3.8267713
ACCIDENT_39696,4.197777
ACCIDENT_39697,3.778707
ACCIDENT_39698,4.0565667
ACCIDENT_39699,3.7602773
ACCIDENT_39700,3.9466028
ACCIDENT_39701,4.0732636
ACCIDENT_39702,3.9888043
ACCIDENT_39703,4.3428698
ACCIDENT_39704,4.030001
ACCIDENT_39705,3.8739822
ACCIDENT_39706,3.8842278
ACCIDENT_39707,4.139622
ACCIDENT_39708,3.9850888
ACCIDENT_39709,4.019371
ACCIDENT_39710,3.91089
ACCIDENT_39711,3.7602773
ACCIDENT_39712,4.36953
ACCIDENT_39713,3.8342712
ACCIDENT_39714,4.1517406
ACCIDENT_39715,4.219724
ACCIDENT_39716,3.8201776
ACCIDENT_39717,3.7602773
ACCIDENT_39718,3.8342712
ACCIDENT_39719,3.7585716
ACCIDENT_39720,3.7524366
ACCIDENT_39721,4.0116806
ACCIDENT_39722,3.9850888
ACCIDENT_39723,3.9187307
ACCIDENT_39724,3.9942605
ACCIDENT_39725,4.0116806
ACCIDENT_39726,4.0887504
ACCIDENT_39727,3.6711056
ACCIDENT_39728,3.778707
ACCIDENT_39729,4.089942
ACCIDENT_39730,4.1517406
ACCIDENT_39731,4.0501075
ACCIDENT_39732,3.8666484
ACCIDENT_39733,3.7585716
ACCIDENT_39734,3.7727203
ACCIDENT_39735,3.808403
ACCIDENT_39736,3.692078
ACCIDENT_39737,4.1739044
ACCIDENT_39738,3.9187307
ACCIDENT_39739,4.0116806
ACCIDENT_39740,3.8444233
ACCIDENT_39741,3.8444233
ACCIDENT_39742,3.9819155
ACCIDENT_39743,3.746312
ACCIDENT_39744,3.9769845
ACCIDENT_39745,3.9985933
ACCIDENT_39746,3.8775454
ACCIDENT_39747,3.9551687
ACCIDENT_39748,4.0979047
ACCIDENT_39749,3.778707
ACCIDENT_39750,3.8443458
ACCIDENT_39751,4.0586066
ACCIDENT_39752,4.111252
ACCIDENT_39753,3.9460964
ACCIDENT_39754,3.9123235
ACCIDENT_39755,3.9657662
ACCIDENT_39756,3.7602773
ACCIDENT_39757,4.034809
ACCIDENT_39758,4.4042554
ACCIDENT_39759,3.98878
ACCIDENT_39760,4.030001
ACCIDENT_39761,3.9272535
ACCIDENT_39762,4.287912
ACCIDENT_39763,4.0214467
ACCIDENT_39764,3.4769402
ACCIDENT_39765,4.213093
ACCIDENT_39766,4.0773973
ACCIDENT_39767,4.116054
ACCIDENT_39768,3.9257207
ACCIDENT_39769,4.007132
ACCIDENT_39770,3.8171246
ACCIDENT_39771,4.0061927
ACCIDENT_39772,4.096426
ACCIDENT_39773,3.8457415
ACCIDENT_39774,3.8738189
ACCIDENT_39775,3.7207294
ACCIDENT_39776,3.9267504
ACCIDENT_39777,4.146813
ACCIDENT_39778,3.85789
ACCIDENT_39779,4.3407607
ACCIDENT_39780,4.115647
ACCIDENT_39781,3.7626925
ACCIDENT_39782,4.037513
ACCIDENT_39783,4.0116806
ACCIDENT_39784,4.5270696
ACCIDENT_39785,4.05821
ACCIDENT_39786,3.7602773
ACCIDENT_39787,4.270171
ACCIDENT_39788,3.909682
ACCIDENT_39789,3.993115
ACCIDENT_39790,3.9703534
ACCIDENT_39791,3.7105117
ACCIDENT_39792,3.9717994
ACCIDENT_39793,4.0979047
ACCIDENT_39794,4.089942
ACCIDENT_39795,4.011387
ACCIDENT_39796,3.8516593
ACCIDENT_39797,4.0871634
ACCIDENT_39798,3.8729074
ACCIDENT_39799,4.0320783
ACCIDENT_39800,3.8850179
ACCIDENT_39801,3.903889
ACCIDENT_39802,4.017986
ACCIDENT_39803,4.1158624
ACCIDENT_39804,4.2621107
ACCIDENT_39805,3.7602773
ACCIDENT_39806,4.1417294
ACCIDENT_39807,4.811094
ACCIDENT_39808,4.093359
ACCIDENT_39809,4.01546
ACCIDENT_39810,3.6287913
ACCIDENT_39811,4.2101936
ACCIDENT_39812,3.8775454
ACCIDENT_39813,3.778707
ACCIDENT_39814,3.7602773
ACCIDENT_39815,4.1684604
ACCIDENT_39816,4.3009496
ACCIDENT_39817,3.745964
ACCIDENT_39818,4.428967
ACCIDENT_39819,4.3221965
ACCIDENT_39820,4.3062735
ACCIDENT_39821,4.0116806
ACCIDENT_39822,4.5245533
ACCIDENT_39823,4.1739044
ACCIDENT_39824,3.875464
ACCIDENT_39825,4.019371
ACCIDENT_39826,3.6685114
ACCIDENT_39827,3.9257207
ACCIDENT_39828,3.933025
ACCIDENT_39829,4.0884814
ACCIDENT_39830,4.2703953
ACCIDENT_39831,4.2277317
ACCIDENT_39832,4.1950026
ACCIDENT_39833,4.248871
ACCIDENT_39834,4.2101936
ACCIDENT_39835,3.9674537
ACCIDENT_39836,4.229478
ACCIDENT_39837,3.8738189
ACCIDENT_39838,3.9621887
ACCIDENT_39839,4.2278285
ACCIDENT_39840,3.91089
ACCIDENT_39841,3.8729074
